Region,Instance Type,Database Engine,Model
ap-northeast-2,db.r7g.12xlarge,Aurora MySQL,IOOptimized
ap-northeast-2,db.r7g.12xlarge,Aurora PostgreSQL,Standard
ap-northeast-2,db.r7g.12xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.r7g.16xlarge,Aurora MySQL,Standard
ap-northeast-2,db.r7g.16xlarge,Aurora MySQL,IOOptimized
ap-northeast-2,db.r7g.16xlarge,Aurora PostgreSQL,Standard
ap-northeast-2,db.r7g.16xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.r7i.large,Aurora MySQL,Standard
ap-northeast-2,db.r7i.large,Aurora MySQL,IOOptimized
ap-northeast-2,db.r7i.large,Aurora PostgreSQL,Standard
ap-northeast-2,db.r7i.large,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.r7i.xlarge,Aurora MySQL,Standard
ap-northeast-2,db.r7i.xlarge,Aurora MySQL,IOOptimized
ap-northeast-2,db.r7i.xlarge,Aurora PostgreSQL,Standard
ap-northeast-2,db.r7i.xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.r7i.2xlarge,Aurora MySQL,Standard
ap-northeast-2,db.r7i.2xlarge,Aurora MySQL,IOOptimized
ap-northeast-2,db.r7i.2xlarge,Aurora PostgreSQL,Standard
ap-northeast-2,db.r7i.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.r7i.4xlarge,Aurora MySQL,Standard
ap-northeast-2,db.r7i.4xlarge,Aurora MySQL,IOOptimized
ap-northeast-2,db.r7i.4xlarge,Aurora PostgreSQL,Standard
ap-northeast-2,db.r7i.4xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.r7i.8xlarge,Aurora MySQL,Standard
ap-northeast-2,db.r7i.8xlarge,Aurora MySQL,IOOptimized
